DATE,S/N,TWEETS,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
01/09/2024,1,Nothing funny but una two just dey kikiki,1860,1,2024-09-26T12:46:04.870181Z,3339,2.075,Normal,2024-09-26T12:46:04.870181Z
01/09/2024,2,When you meet someone & it’s straight up flirty FROM THE JUMP 👌🏾,1861,1,2024-09-26T12:46:11.311933Z,3340,3.151,Normal,2024-09-26T12:46:11.311933Z
23/08/2024,3,"Boys wey dey cap, no be for dis place 😌",1862,1,2024-09-26T12:46:16.438439Z,3341,2.016,Normal,2024-09-26T12:46:16.438439Z
18/08/2024,4,Oshay mai dia ❤️,1863,1,2024-09-26T12:46:21.835038Z,3342,1.728,Normal,2024-09-26T12:46:21.835038Z
02/08/2024,5,How long do you think you can keep on pushing the people back before it blows up in your face ?,1864,1,2024-09-26T12:46:28.573287Z,3343,2.853,Normal,2024-09-26T12:46:28.573287Z
02/08/2024,6,You tried to make it look like the protests were “politically motivated”. Shebi una don see now?,1865,1,2024-09-26T12:46:36.787251Z,3344,3.02,Normal,2024-09-26T12:46:36.787251Z
02/08/2024,7,"They say make you leave am, you no gree. Say na your birthright. You can’t now turn a deaf ear.",1866,1,2024-09-26T12:46:46.144428Z,3345,5.936,Offensive,2024-09-26T12:46:46.144428Z
02/08/2024,8,Genuinely don’t know why it’s so difficult to be humane.,1867,1,2024-09-26T12:46:51.541085Z,3346,1.349,Normal,2024-09-26T12:46:51.541085Z
30/07/2024,9,We gats complete am 😤,1868,1,2024-09-26T12:46:56.701242Z,3347,1.827,Normal,2024-09-26T12:46:56.701242Z
30/07/2024,10,Enemies tooo plentyyy,1869,1,2024-09-26T12:47:01.564327Z,3348,1.878,Normal,2024-09-26T12:47:01.564327Z
30/07/2024,11,"If he run am, then I go accept defeat & relax small lol",1870,1,2024-09-26T12:47:06.405112Z,3349,1.613,Normal,2024-09-26T12:47:06.405112Z
30/07/2024,12,"I never even use all of my powers 😏. Come my side for rematch, so we know it’s real ",1871,1,2024-09-26T12:47:12.198508Z,3350,2.409,Normal,2024-09-26T12:47:12.198508Z
12/06/2024,13,So stinkingggg 🤌🏾,1872,1,2024-09-26T12:47:18.005861Z,3351,2.348,Normal,2024-09-26T12:47:18.005861Z
12/06/2024,14,Awa la capshure 🌚,1873,1,2024-09-26T12:47:23.542925Z,3352,1.86,Normal,2024-09-26T12:47:23.542925Z
02/06/2024,15,Na you talk am o 🤭,1874,1,2024-09-26T12:47:29.681825Z,3353,1.299,Normal,2024-09-26T12:47:29.681825Z
30/05/2024,16,😭😭😭 Shebi i don come nau,1875,1,2024-09-26T12:47:34.221297Z,3354,1.298,Normal,2024-09-26T12:47:34.221297Z
08/02/2024,17,Nahhhh we are actually the most insane people 😂😂😂,1876,1,2024-09-26T12:47:39.255721Z,3355,1.388,Offensive,2024-09-26T12:47:39.255721Z
